Páratartalom [%]	D1	D2	D3	D4	D5	D6	D7	D8	L1	L2	L3	L4	L5	L6	L7	L8	Méretszám	Idő különbség [perc]	Megerősített?
65	3	0	0	0	0	2400	0	0	2400	3	0	0	0	0	0	0	2403	39,9	1
65	0	0	2	0	0	3062	1342	0	3062	1342	2	0	0	0	0	0	4406	10,9	1
64	0	0	302	1314	0	0	0	0	1314	302	0	0	0	0	0	0	1616	118	1
65	4	6	11	437	1705	1016	76	47	1705	1016	437	76	47	11	6	4	3302	1,3	0
65	0	0	0	887	2656	71	1	0	2656	887	71	1	0	0	0	0	3615	7	1
65	0	0	437	1482	597	1212	3	1	1482	1212	597	437	3	1	0	0	3732	8,8	0
65	0	0	0	0	171	1997	17	0	1997	171	17	0	0	0	0	0	2185	2,1	1
65	0	0	0	1775	3187	1847	11	0	3187	1847	1775	11	0	0	0	0	6820	3,6	1
65	0	0	2302	3133	2	0	0	0	3133	2302	2	0	0	0	0	0	5437	23,1	1
65	0	0	1876	2720	0	0	0	0	2720	1876	0	0	0	0	0	0	4596	78,5	1
64	0	0	0	1016	3015	211	0	0	3015	1016	211	0	0	0	0	0	4242	168,2	1
65	0	2431	66	24	16	7	6	5	2431	66	24	16	7	6	5	0	2555	3,2	1
65	0	0	2602	2333	0	0	0	0	2602	2333	0	0	0	0	0	0	4935	13,8	1
65	1	21	3048	3076	262	0	0	0	3076	3048	262	21	1	0	0	0	6408	61,5	1
64	2792	1750	6	4	3	2	2	3	2792	1750	6	4	3	3	2	2	4562	21,6	1
64	8	14	3252	1210	44	45	43	44	3252	1210	45	44	44	43	14	8	4660	13,8	1
63	0	0	0	2970	0	0	0	1	2970	1	0	0	0	0	0	0	2971	26,5	1
65	0	0	0	86	556	2750	76	0	2750	556	86	76	0	0	0	0	3468	18	1
50	686	821	1149	519	328	235	101	45	1149	821	686	519	328	235	101	45	3884	989,4	0
61	14	0	0	0	0	877	2179	0	2179	877	14	0	0	0	0	0	3070	2214,9	1
65	1130	2351	1571	306	197	59	37	19	2351	1571	1130	306	197	59	37	19	5670	23	0
66	0	0	0	145	2638	146	4	5	2638	146	145	5	4	0	0	0	2938	21,4	1
65	0	184	2673	3147	0	0	0	0	3147	2673	184	0	0	0	0	0	6004	8,5	1
65	0	473	2967	2480	85	2	1	1	2967	2480	473	85	2	1	1	0	6009	20,9	1
65	3	2	0	0	36	3027	32	0	3027	36	32	3	2	0	0	0	3100	3,4	1
66	2	0	949	1637	949	29	9	0	1637	949	949	29	9	2	0	0	3575	6,8	1
66	0	0	164	4376	3039	7	0	0	4376	3039	164	7	0	0	0	0	7586	14,7	1
66	0	0	2927	77	0	0	0	0	2927	77	0	0	0	0	0	0	3004	683,8	1
65	1	0	2170	2175	2	3	2	3	2175	2170	3	3	2	2	1	0	4356	46,7	0
64	2	4	4	206	1915	2273	2	1	2273	1915	206	4	4	2	2	1	4407	69	1
64	3	4	1	1	2415	4024	2	2	4024	2415	4	3	2	2	1	1	6452	58,7	1
64	2	4	12	724	1736	1523	339	1	1736	1523	724	339	12	4	2	1	4341	39,7	1
51	1	1281	857	28	7	6	6	0	1281	857	28	7	6	6	1	0	2186	758,1	0
64	3	1	0	2556	592	2	4	2	2556	592	4	3	2	2	1	0	3160	12,9	1
64	9	11	333	3076	2560	1	2	4	3076	2560	333	11	9	4	2	1	5996	76,6	1
64	3	0	0	4091	3119	0	0	1	4091	3119	3	1	0	0	0	0	7214	121,7	1
65	1475	1531	2079	1950	2351	2469	2206	1939	2469	2351	2206	2079	1950	1939	1531	1475	16000	101,9	0
63	1712	1737	2354	2057	2116	1921	1523	1273	2354	2116	2057	1921	1737	1712	1523	1273	14693	1,8	0
63	1311	1265	1544	1316	1326	1212	1015	873	1544	1326	1316	1311	1265	1212	1015	873	9862	3,7	0
63	1296	1205	1464	1214	1207	985	782	742	1464	1296	1214	1207	1205	985	782	742	8895	7,1	0
62	1236	1217	1517	1377	1402	1236	982	833	1517	1402	1377	1236	1236	1217	982	833	9800	6,7	0
62	994	985	1233	1106	1126	991	785	665	1233	1126	1106	994	991	985	785	665	7885	15	0
62	1059	1010	1205	1068	1083	909	711	604	1205	1083	1068	1059	1010	909	711	604	7649	5	0
62	1184	1069	1310	1136	1172	901	654	554	1310	1184	1172	1136	1069	901	654	554	7980	2,3	0
63	925	1023	1518	1457	1717	1408	1041	749	1717	1518	1457	1408	1041	1023	925	749	9838	1,1	0
63	1230	1180	1310	1269	1239	1100	906	787	1310	1269	1239	1230	1180	1100	906	787	9021	1,1	0
